分组,TeamA,TeamB,开始时间(UTC+8),结束时间(UTC+8),备注,开始时间(UTC),结束时间(UTC)
J组,奥地利,约旦,2026-06-17T12:00:00Z,2026-06-17T14:00:00Z,,2026-06-17T04:00:00Z,2026-06-17T06:00:00Z
K组,葡萄牙,洲际附加赛1胜者,2026-06-18T01:00:00Z,2026-06-18T03:00:00Z,,2026-06-17T17:00:00Z,2026-06-17T19:00:00Z
L组,英格兰,克罗地亚,2026-06-18T04:00:00Z,2026-06-18T06:00:00Z,,2026-06-17T20:00:00Z,2026-06-17T22:00:00Z
L组,加纳,巴拿马,2026-06-18T07:00:00Z,2026-06-18T09:00:00Z,,2026-06-17T23:00:00Z,2026-06-18T01:00:00Z
K组,乌兹别克斯坦,哥伦比亚,2026-06-18T10:00:00Z,2026-06-18T12:00:00Z,,2026-06-18T02:00:00Z,2026-06-18T04:00:00Z
A组,欧洲附加赛D胜者,南非,2026-06-19T00:00:00Z,2026-06-19T02:00:00Z,,2026-06-18T16:00:00Z,2026-06-18T18:00:00Z
B组,瑞士,欧洲附加赛A胜者,2026-06-19T03:00:00Z,2026-06-19T05:00:00Z,,2026-06-18T19:00:00Z,2026-06-18T21:00:00Z
B组,加拿大,卡塔尔,2026-06-19T06:00:00Z,2026-06-19T08:00:00Z,,2026-06-18T22:00:00Z,2026-06-19T00:00:00Z
A组,墨西哥,韩国,2026-06-19T09:00:00Z,2026-06-19T11:00:00Z,,2026-06-19T01:00:00Z,2026-06-19T03:00:00Z
D组,美国,澳大利亚,2026-06-20T03:00:00Z,2026-06-20T05:00:00Z,,2026-06-19T19:00:00Z,2026-06-19T21:00:00Z
C组,苏格兰,摩洛哥,2026-06-20T06:00:00Z,2026-06-20T08:00:00Z,,2026-06-19T22:00:00Z,2026-06-20T00:00:00Z
C组,巴西,海地,2026-06-20T09:00:00Z,2026-06-20T11:00:00Z,,2026-06-20T01:00:00Z,2026-06-20T03:00:00Z
D组,欧洲附加赛C胜者,巴拉圭,2026-06-20T12:00:00Z,2026-06-20T14:00:00Z,,2026-06-20T04:00:00Z,2026-06-20T06:00:00Z
F组,荷兰,欧洲附加赛B胜者,2026-06-21T01:00:00Z,2026-06-21T03:00:00Z,,2026-06-20T17:00:00Z,2026-06-20T19:00:00Z
E组,德国,科特迪瓦,2026-06-21T04:00:00Z,2026-06-21T06:00:00Z,,2026-06-20T20:00:00Z,2026-06-20T22:00:00Z
E组,厄瓜多尔,库拉索,2026-06-21T08:00:00Z,2026-06-21T10:00:00Z,,2026-06-21T00:00:00Z,2026-06-21T02:00:00Z
F组,突尼斯,日本,2026-06-21T12:00:00Z,2026-06-21T14:00:00Z,,2026-06-21T04:00:00Z,2026-06-21T06:00:00Z
H组,西班牙,沙特阿拉伯,2026-06-22T00:00:00Z,2026-06-22T02:00:00Z,,2026-06-21T16:00:00Z,2026-06-21T18:00:00Z
G组,比利时,伊朗,2026-06-22T03:00:00Z,2026-06-22T05:00:00Z,,2026-06-21T19:00:00Z,2026-06-21T21:00:00Z
H组,乌拉圭,佛得角,2026-06-22T06:00:00Z,2026-06-22T08:00:00Z,,2026-06-21T22:00:00Z,2026-06-22T00:00:00Z
G组,新西兰,埃及,2026-06-22T09:00:00Z,2026-06-22T11:00:00Z,,2026-06-22T01:00:00Z,2026-06-22T03:00:00Z
J组,阿根廷,奥地利,2026-06-23T01:00:00Z,2026-06-23T03:00:00Z,,2026-06-22T17:00:00Z,2026-06-22T19:00:00Z
I组,法国,洲际附加赛2胜者,2026-06-23T05:00:00Z,2026-06-23T07:00:00Z,,2026-06-22T21:00:00Z,2026-06-22T23:00:00Z
I组,挪威,塞内加尔,2026-06-23T08:00:00Z,2026-06-23T10:00:00Z,,2026-06-23T00:00:00Z,2026-06-23T02:00:00Z
J组,约旦,阿尔及利亚,2026-06-23T11:00:00Z,2026-06-23T13:00:00Z,,2026-06-23T03:00:00Z,2026-06-23T05:00:00Z
K组,葡萄牙,乌兹别克斯坦,2026-06-24T01:00:00Z,2026-06-24T03:00:00Z,,2026-06-23T17:00:00Z,2026-06-23T19:00:00Z
L组,英格兰,加纳,2026-06-24T04:00:00Z,2026-06-24T06:00:00Z,,2026-06-23T20:00:00Z,2026-06-23T22:00:00Z
L组,巴拿马,克罗地亚,2026-06-24T07:00:00Z,2026-06-24T09:00:00Z,,2026-06-23T23:00:00Z,2026-06-24T01:00:00Z
K组,哥伦比亚,洲际附加赛1胜者,2026-06-24T10:00:00Z,2026-06-24T12:00:00Z,,2026-06-24T02:00:00Z,2026-06-24T04:00:00Z
B组,瑞士,加拿大,2026-06-25T03:00:00Z,2026-06-25T05:00:00Z,,2026-06-24T19:00:00Z,2026-06-24T21:00:00Z
B组,欧洲附加赛A胜者,卡塔尔,2026-06-25T03:00:00Z,2026-06-25T05:00:00Z,,2026-06-24T19:00:00Z,2026-06-24T21:00:00Z
C组,苏格兰,巴西,2026-06-25T06:00:00Z,2026-06-25T08:00:00Z,,2026-06-24T22:00:00Z,2026-06-25T00:00:00Z
C组,摩洛哥,海地,2026-06-25T06:00:00Z,2026-06-25T08:00:00Z,,2026-06-24T22:00:00Z,2026-06-25T00:00:00Z
A组,欧洲附加赛D胜者,墨西哥,2026-06-25T09:00:00Z,2026-06-25T11:00:00Z,,2026-06-25T01:00:00Z,2026-06-25T03:00:00Z
A组,南非,韩国,2026-06-25T09:00:00Z,2026-06-25T11:00:00Z,,2026-06-25T01:00:00Z,2026-06-25T03:00:00Z
E组,库拉索,科特迪瓦,2026-06-26T04:00:00Z,2026-06-26T06:00:00Z,,2026-06-25T20:00:00Z,2026-06-25T22:00:00Z
E组,厄瓜多尔,德国,2026-06-26T04:00:00Z,2026-06-26T06:00:00Z,,2026-06-25T20:00:00Z,2026-06-25T22:00:00Z
F组,日本,欧洲附加赛B胜者,2026-06-26T07:00:00Z,2026-06-26T09:00:00Z,,2026-06-25T23:00:00Z,2026-06-26T01:00:00Z
F组,突尼斯,荷兰,2026-06-26T07:00:00Z,2026-06-26T09:00:00Z,,2026-06-25T23:00:00Z,2026-06-26T01:00:00Z
D组,欧洲附加赛C胜者,美国,2026-06-26T10:00:00Z,2026-06-26T12:00:00Z,,2026-06-26T02:00:00Z,2026-06-26T04:00:00Z
D组,巴拉圭,澳大利亚,2026-06-26T10:00:00Z,2026-06-26T12:00:00Z,,2026-06-26T02:00:00Z,2026-06-26T04:00:00Z
I组,挪威,法国,2026-06-27T03:00:00Z,2026-06-27T05:00:00Z,,2026-06-26T19:00:00Z,2026-06-26T21:00:00Z
I组,塞内加尔,洲际附加赛2胜者,2026-06-27T03:00:00Z,2026-06-27T05:00:00Z,,2026-06-26T19:00:00Z,2026-06-26T21:00:00Z
H组,佛得角,沙特阿拉伯,2026-06-27T08:00:00Z,2026-06-27T10:00:00Z,,2026-06-27T00:00:00Z,2026-06-27T02:00:00Z
H组,乌拉圭,西班牙,2026-06-27T08:00:00Z,2026-06-27T10:00:00Z,,2026-06-27T00:00:00Z,2026-06-27T02:00:00Z
G组,埃及,伊朗,2026-06-27T11:00:00Z,2026-06-27T13:00:00Z,,2026-06-27T03:00:00Z,2026-06-27T05:00:00Z
G组,新西兰,比利时,2026-06-27T11:00:00Z,2026-06-27T13:00:00Z,,2026-06-27T03:00:00Z,2026-06-27T05:00:00Z
L组,巴拿马,英格兰,2026-06-28T05:00:00Z,2026-06-28T07:00:00Z,,2026-06-27T21:00:00Z,2026-06-27T23:00:00Z
L组,克罗地亚,加纳,2026-06-28T05:00:00Z,2026-06-28T07:00:00Z,,2026-06-27T21:00:00Z,2026-06-27T23:00:00Z
K组,哥伦比亚,葡萄牙,2026-06-28T07:30:00Z,2026-06-28T09:30:00Z,,2026-06-27T23:30:00Z,2026-06-28T01:30:00Z
K组,洲际附加赛1胜者,乌兹别克斯坦,2026-06-28T07:30:00Z,2026-06-28T09:30:00Z,,2026-06-27T23:30:00Z,2026-06-28T01:30:00Z
J组,阿尔及利亚,奥地利,2026-06-28T10:00:00Z,2026-06-28T12:00:00Z,,2026-06-28T02:00:00Z,2026-06-28T04:00:00Z
J组,约旦,阿根廷,2026-06-28T10:00:00Z,2026-06-28T12:00:00Z,,2026-06-28T02:00:00Z,2026-06-28T04:00:00Z
